Overbooking,Max_expected_profit
0,40654.294287805926
1,40942.07130091011
2,41221.45499948847
3,41481.57592881347
4,41707.623301044485
5,41886.158624195894
6,42011.221060444565
7,42085.53615582879
8,42122.167268763085
9,42134.624830341694
10,42132.90038235115
11,42123.66593558075
12,42111.02967047866
13,42097.41950987739
14,42084.1115703531
15,42071.74230930798
16,42060.59170509571
17,42050.75084706395
18,42042.21197689178
19,42034.90670906074
20,42028.73703811103
